PK_LOCALIDADE;customer_address_1;customer_address_2;customer_address_3;customer_address_4;address_number;region_code;region_name;city;country;state;zip_code
4306b8ddbbf90d752772fcaabb49aed69082c88b43604b58e18bbda755cc9308;3631 South Bagley Avenue;Não informado;Não informado;Não informado;10025289;1;Western;Fresno;US;CA;93725
fdb915781cec205dbf8aa58072c3f782d3335918410287ab909201d6d80e1f68;General Pardinas 112 Bis;Não informado;Não informado;Não informado;10027370;5;International;Madrid;UK;Não informado;28006
abee8b135b4a5a0af96c9ba00c5b6df80538e6ada533d03083fa2dbe02542388;1287 US Highway 59 North;Não informado;Não informado;Não informado;10007564;2;Southern;Cleveland;US;TX;77327
57ec025bb5f0604438455126a511fba3c792a8e964673a4228a2abded8713241;PO Box 547;Não informado;Não informado;Não informado;10020914;2;Southern;Calhoun;US;LA;71225-0547
0da4abcdb5ef282e102bb1b50f646eabf3e89e7d7f0db8ae30f06def99218164;10400 Plano Road;Não informado;Não informado;Não informado;10027575;2;Southern;Dallas;US;TX;75238
9b2555d034ac3c9186837ca60bbcb5e6046f935f5264dcd0fa687d9d7aae6b61;Attention:  Accounts Payable;1624 North 71st East Avenue;Não informado;Não informado;10023447;2;Southern;Tulsa;US;OK;74115
c5c2adede325097b269e4f62dec39f8d0c9418ef12ad9ab6c68d237fbaa54845;Kirchstrasse 39;FL 9490 Vaduz;Não informado;Não informado;10025288;5;International;Furstentum;AU;Não informado;Não informado
8a399ff393ad454f4a65357af4658aeb3e2da8cb021e4770437783d9b0368b76;PO Box 2484;Não informado;Não informado;Não informado;10003795;2;Southern;Baton Rouge;US;LA;70815
2fedcd55fb6644ea1f08b3800563bf877bf20a57992cb60c6d1a62bdcd2b56a8;4567 Federal Boulevard;Não informado;Não informado;Não informado;10025238;1;Western;San Diego;US;CA;92102
b0783b0fa0afb1fabb94798afb0f26556ba22f3891b5e1ab6682b2a2c43753ee;18412 96 Avenue;Não informado;Não informado;Não informado;10023022;0;Canada;Surrey;CA;BC;V4N 3P8
2355bb7694fa1756c5309386719a5a10c486f44a05c920827c482afefc137081;730 North Central;Não informado;Não informado;Não informado;10025248;1;Western;Kent;US;WA;98032
d3d34c0f05a82f8314dcb6b6ccebcd874b4a609f8f7a53e8bd1c9e1a771ce316;PO Box 958;Não informado;Não informado;Não informado;10022434;1;Western;Placentia;US;CA;92670
db117a4a5d3bc6b7652c4d0593beebf04a8d2124f0fdb89ee5bd710be634bfa9;Advance Auto Parts;Attn  Merchandise Accts. Payable;P.O. Box 2710;Não informado;10017638;3;Northeast;Roanoke;US;VA;24001
